iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP	Accuracy_SumError	Accuracy_SumWeight
0	80	119	80	80	80	80	119	80	119
1	80	119	80	80	80	80	119	80	119
2	80	119	80	80	80	80	119	80	119
3	80	119	80	80	80	80	119	80	119
4	80	118	80	80	80	80	118	81	119
5	80	119	80	80	80	80	119	80	119
6	80	119	80	80	80	80	119	80	119
7	80	119	80	80	80	80	119	80	119
8	79	118	79	80	79	80	118	79	119
9	80	119	80	80	80	80	119	80	119
10	79	118	79	80	79	80	118	79	119
11	79	116	79	80	79	80	116	81	119
12	78	112	78	80	78	80	112	83	119
13	79	114	79	80	79	80	114	83	119
14	78	112	78	80	78	80	112	83	119
15	78	112	78	80	78	80	112	83	119
16	78	109	78	80	78	80	109	86	119
17	78	109	78	80	78	80	109	86	119
18	78	109	78	80	78	80	109	86	119
19	77	108	77	80	77	80	108	85	119
20	78	109	78	80	78	80	109	86	119
21	78	108	78	80	78	80	108	87	119
22	78	110	78	80	78	80	110	85	119
23	78	110	78	80	78	80	110	85	119
24	78	110	78	80	78	80	110	85	119
25	78	110	78	80	78	80	110	85	119
26	78	110	78	80	78	80	110	85	119
27	78	110	78	80	78	80	110	85	119
28	78	111	78	80	78	80	111	84	119
29	78	108	78	80	78	80	108	87	119
30	78	110	78	80	78	80	110	85	119
31	78	110	78	80	78	80	110	85	119
32	78	109	78	80	78	80	109	86	119
33	78	108	78	80	78	80	108	87	119
34	78	108	78	80	78	80	108	87	119
35	78	107	78	80	78	80	107	88	119
36	78	107	78	80	78	80	107	88	119
37	78	107	78	80	78	80	107	88	119
38	78	106	78	80	78	80	106	89	119
39	78	106	78	80	78	80	106	89	119
40	78	107	78	80	78	80	107	88	119
41	78	107	78	80	78	80	107	88	119
42	78	106	78	80	78	80	106	89	119
43	79	108	79	80	79	80	108	89	119
44	79	108	79	80	79	80	108	89	119
45	79	108	79	80	79	80	108	89	119
46	79	108	79	80	79	80	108	89	119
47	79	108	79	80	79	80	108	89	119
48	79	108	79	80	79	80	108	89	119
49	79	108	79	80	79	80	108	89	119
50	79	107	79	80	79	80	107	90	119
51	79	106	79	80	79	80	106	91	119
52	79	107	79	80	79	80	107	90	119
53	79	106	79	80	79	80	106	91	119
54	79	107	79	80	79	80	107	90	119
55	79	107	79	80	79	80	107	90	119
56	79	107	79	80	79	80	107	90	119
57	79	106	79	80	79	80	106	91	119
58	79	107	79	80	79	80	107	90	119
59	79	107	79	80	79	80	107	90	119
60	79	106	79	80	79	80	106	91	119
61	79	106	79	80	79	80	106	91	119
62	79	106	79	80	79	80	106	91	119
63	79	106	79	80	79	80	106	91	119
64	79	106	79	80	79	80	106	91	119
65	79	106	79	80	79	80	106	91	119
66	79	106	79	80	79	80	106	91	119
67	79	106	79	80	79	80	106	91	119
68	79	106	79	80	79	80	106	91	119
69	79	106	79	80	79	80	106	91	119
70	79	106	79	80	79	80	106	91	119
71	79	106	79	80	79	80	106	91	119
72	79	106	79	80	79	80	106	91	119
73	79	106	79	80	79	80	106	91	119
74	79	106	79	80	79	80	106	91	119
75	79	106	79	80	79	80	106	91	119
76	79	106	79	80	79	80	106	91	119
77	79	106	79	80	79	80	106	91	119
78	79	106	79	80	79	80	106	91	119
79	79	106	79	80	79	80	106	91	119
80	79	106	79	80	79	80	106	91	119
81	79	106	79	80	79	80	106	91	119
82	79	106	79	80	79	80	106	91	119
83	79	106	79	80	79	80	106	91	119
84	79	106	79	80	79	80	106	91	119
85	79	106	79	80	79	80	106	91	119
86	79	106	79	80	79	80	106	91	119
87	79	106	79	80	79	80	106	91	119
88	78	105	78	80	78	80	105	90	119
89	78	105	78	80	78	80	105	90	119
90	78	105	78	80	78	80	105	90	119
91	78	105	78	80	78	80	105	90	119
92	78	105	78	80	78	80	105	90	119
93	78	105	78	80	78	80	105	90	119
94	78	105	78	80	78	80	105	90	119
95	78	105	78	80	78	80	105	90	119
96	78	105	78	80	78	80	105	90	119
97	78	105	78	80	78	80	105	90	119
98	78	105	78	80	78	80	105	90	119
99	78	105	78	80	78	80	105	90	119
100	78	105	78	80	78	80	105	90	119
101	78	105	78	80	78	80	105	90	119
102	78	105	78	80	78	80	105	90	119
103	78	105	78	80	78	80	105	90	119
104	78	105	78	80	78	80	105	90	119
105	78	105	78	80	78	80	105	90	119
106	78	105	78	80	78	80	105	90	119
107	78	105	78	80	78	80	105	90	119
108	78	105	78	80	78	80	105	90	119
109	78	105	78	80	78	80	105	90	119
110	78	105	78	80	78	80	105	90	119
111	78	105	78	80	78	80	105	90	119
112	78	105	78	80	78	80	105	90	119
113	78	105	78	80	78	80	105	90	119
114	78	105	78	80	78	80	105	90	119
115	78	105	78	80	78	80	105	90	119
116	78	105	78	80	78	80	105	90	119
117	78	105	78	80	78	80	105	90	119
118	78	105	78	80	78	80	105	90	119
119	78	105	78	80	78	80	105	90	119
120	78	105	78	80	78	80	105	90	119
121	78	105	78	80	78	80	105	90	119
122	78	105	78	80	78	80	105	90	119
123	78	105	78	80	78	80	105	90	119
124	78	105	78	80	78	80	105	90	119
125	78	105	78	80	78	80	105	90	119
126	78	105	78	80	78	80	105	90	119
127	78	105	78	80	78	80	105	90	119
128	78	105	78	80	78	80	105	90	119
129	78	105	78	80	78	80	105	90	119
130	78	105	78	80	78	80	105	90	119
131	78	105	78	80	78	80	105	90	119
132	78	105	78	80	78	80	105	90	119
133	78	105	78	80	78	80	105	90	119
134	78	105	78	80	78	80	105	90	119
135	78	105	78	80	78	80	105	90	119
136	78	105	78	80	78	80	105	90	119
137	78	105	78	80	78	80	105	90	119
138	78	105	78	80	78	80	105	90	119
139	78	105	78	80	78	80	105	90	119
140	78	105	78	80	78	80	105	90	119
141	78	105	78	80	78	80	105	90	119
142	78	105	78	80	78	80	105	90	119
143	78	105	78	80	78	80	105	90	119
144	78	105	78	80	78	80	105	90	119
145	78	105	78	80	78	80	105	90	119
146	78	105	78	80	78	80	105	90	119
147	78	105	78	80	78	80	105	90	119
148	78	105	78	80	78	80	105	90	119
149	78	105	78	80	78	80	105	90	119
150	78	105	78	80	78	80	105	90	119
151	78	105	78	80	78	80	105	90	119
152	78	105	78	80	78	80	105	90	119
153	78	105	78	80	78	80	105	90	119
154	78	105	78	80	78	80	105	90	119
155	78	105	78	80	78	80	105	90	119
156	78	105	78	80	78	80	105	90	119
157	78	105	78	80	78	80	105	90	119
158	78	105	78	80	78	80	105	90	119
159	78	105	78	80	78	80	105	90	119
160	78	105	78	80	78	80	105	90	119
161	78	105	78	80	78	80	105	90	119
162	78	105	78	80	78	80	105	90	119
163	78	105	78	80	78	80	105	90	119
164	78	105	78	80	78	80	105	90	119
165	77	104	77	80	77	80	104	89	119
166	77	104	77	80	77	80	104	89	119
167	77	104	77	80	77	80	104	89	119
168	77	104	77	80	77	80	104	89	119
169	77	104	77	80	77	80	104	89	119
170	77	104	77	80	77	80	104	89	119
171	77	104	77	80	77	80	104	89	119
172	77	104	77	80	77	80	104	89	119
173	77	104	77	80	77	80	104	89	119
174	77	104	77	80	77	80	104	89	119
175	77	104	77	80	77	80	104	89	119
176	77	104	77	80	77	80	104	89	119
177	77	104	77	80	77	80	104	89	119
178	77	104	77	80	77	80	104	89	119
179	77	104	77	80	77	80	104	89	119
180	77	104	77	80	77	80	104	89	119
181	77	104	77	80	77	80	104	89	119
182	77	104	77	80	77	80	104	89	119
183	77	104	77	80	77	80	104	89	119
184	77	104	77	80	77	80	104	89	119
185	77	104	77	80	77	80	104	89	119
186	77	104	77	80	77	80	104	89	119
187	77	104	77	80	77	80	104	89	119
188	77	104	77	80	77	80	104	89	119
189	77	104	77	80	77	80	104	89	119
190	77	104	77	80	77	80	104	89	119
191	77	104	77	80	77	80	104	89	119
192	77	104	77	80	77	80	104	89	119
193	77	104	77	80	77	80	104	89	119
194	77	104	77	80	77	80	104	89	119
195	77	104	77	80	77	80	104	89	119
196	77	104	77	80	77	80	104	89	119
197	77	104	77	80	77	80	104	89	119
198	77	104	77	80	77	80	104	89	119
199	77	104	77	80	77	80	104	89	119
200	77	104	77	80	77	80	104	89	119
201	77	104	77	80	77	80	104	89	119
202	77	104	77	80	77	80	104	89	119
203	77	104	77	80	77	80	104	89	119
204	77	104	77	80	77	80	104	89	119
205	77	104	77	80	77	80	104	89	119
206	77	104	77	80	77	80	104	89	119
207	77	104	77	80	77	80	104	89	119
208	77	104	77	80	77	80	104	89	119
209	77	104	77	80	77	80	104	89	119
210	77	104	77	80	77	80	104	89	119
211	77	103	77	80	77	80	103	90	119
212	77	102	77	80	77	80	102	91	119
