iter	Passed	Remaining
0	115	115094
1	143	71370
2	169	56376
3	274	68461
4	318	63479
5	368	61008
6	454	64520
7	552	68487
8	635	69996
9	679	67250
10	717	64547
11	839	69089
12	920	69859
13	998	70353
14	1070	70321
15	1144	70368
16	1247	72158
17	1376	75089
18	1466	75721
19	1487	72895
20	1550	72274
21	1629	72454
22	1701	72290
23	1715	69767
24	1787	69718
25	1859	69675
26	1934	69724
27	2016	69984
28	2134	71469
29	2233	72215
30	2323	72627
31	2402	72690
32	2434	71334
33	2508	71278
34	2558	70547
35	2596	69536
36	2647	68911
37	2685	67990
38	2712	66831
39	2726	65444
40	2798	65453
41	2869	65448
42	2949	65632
43	2976	64678
44	2996	63591
45	3072	63711
46	3085	62565
47	3100	61485
48	3170	61527
49	3242	61615
50	3262	60714
51	3290	59987
52	3362	60089
53	3411	59772
54	3425	58855
55	3496	58942
56	3561	58919
57	3631	58978
58	3657	58327
59	3727	58392
60	3746	57675
61	3766	56980
62	3836	57055
63	3863	56504
64	3927	56496
65	3998	56587
66	4012	55870
67	4038	55355
68	4109	55448
69	4180	55539
70	4194	54879
71	4268	55015
72	4340	55114
73	4389	54925
74	4438	54741
75	4506	54785
76	4541	54442
77	4568	54001
78	4640	54101
79	4707	54141
80	4776	54196
81	4846	54257
82	4913	54286
83	4933	53799
84	5003	53863
85	5017	53322
86	5087	53387
87	5159	53473
88	5235	53594
89	5270	53294
90	5340	53344
91	5408	53378
92	5477	53422
93	5547	53464
94	5617	53509
95	5697	53647
96	5768	53697
97	5839	53747
98	5885	53566
99	5964	53678
100	6041	53776
101	6073	53466
102	6093	53067
103	6166	53126
104	6237	53165
105	6264	52835
106	6300	52583
107	6320	52202
108	6389	52232
109	6463	52292
110	6532	52321
111	6568	52080
112	6640	52122
113	6710	52150
114	6723	51743
115	6743	51392
116	6809	51393
117	6858	51262
118	6907	51135
119	6943	50915
120	7008	50915
121	7079	50946
122	7099	50617
123	7169	50645
124	7195	50371
125	7265	50397
126	7336	50429
127	7355	50112
128	7426	50142
129	7447	49837
130	7516	49859
131	7588	49897
132	7656	49910
133	7670	49569
134	7735	49567
135	7755	49269
136	7790	49076
137	7826	48889
138	7896	48915
139	7967	48942
140	8036	48961
141	8110	49008
142	8177	49009
143	8247	49024
144	8275	48799
145	8345	48816
146	8416	48838
147	8487	48859
148	8535	48748
149	8604	48758
150	8652	48648
151	8665	48345
152	8735	48360
153	8806	48377
154	8825	48114
155	8852	47894
156	8923	47911
157	8950	47696
158	9019	47705
159	9089	47718
160	9154	47703
161	9229	47744
162	9297	47743
163	9365	47741
164	9434	47745
165	9504	47751
166	9516	47470
167	9589	47488
168	9658	47492
169	9685	47286
170	9711	47081
171	9782	47091
172	9853	47101
173	9889	46945
174	9959	46950
175	10008	46856
176	10078	46860
177	10149	46869
178	10199	46779
179	10236	46632
180	10306	46634
181	10377	46639
182	10426	46548
183	10445	46324
184	10513	46317
185	10583	46319
186	10619	46170
187	10669	46082
188	10738	46077
189	10809	46084
190	10845	45937
191	10916	45940
192	10987	45944
193	11015	45764
194	11079	45740
195	11106	45558
196	11126	45351
197	11199	45364
198	11226	45188
199	11262	45048
200	11327	45027
201	11397	45024
202	11467	45021
203	11536	45013
204	11608	45018
205	11681	45023
206	11750	45016
207	11816	44994
208	11886	44986
209	11955	44976
210	12025	44968
211	12095	44957
212	12171	44971
213	12240	44958
214	12276	44824
215	12347	44816
216	12416	44804
217	12484	44784
218	12555	44774
219	12591	44642
220	12661	44629
221	12721	44582
222	12792	44571
223	12805	44362
224	12870	44330
225	12938	44311
226	12987	44226
227	13023	44096
228	13094	44085
229	13130	43958
230	13205	43961
231	13274	43944
232	13344	43929
233	13419	43929
234	13439	43749
235	13505	43722
236	13577	43710
237	13625	43624
238	13695	43608
239	13764	43586
240	13799	43461
241	13870	43444
242	13940	43427
243	14010	43408
244	14080	43392
245	14130	43310
246	14203	43300
247	14238	43174
248	14306	43150
249	14378	43135
250	14446	43109
251	14473	42959
252	14544	42942
253	14615	42925
254	14651	42804
255	14678	42657
256	14713	42538
257	14785	42521
258	14856	42505
259	14928	42489
260	14955	42346
261	15026	42326
262	15097	42307
263	15163	42274
264	15244	42281
265	15290	42193
266	15362	42175
267	15432	42150
268	15481	42071
269	15551	42047
270	15622	42025
271	15691	41999
272	15763	41978
273	15832	41950
274	15859	41810
275	15928	41782
276	15998	41758
277	16068	41730
278	16137	41702
279	16186	41623
280	16239	41552
281	16308	41523
282	16378	41496
283	16448	41468
284	16521	41449
285	16591	41419
286	16640	41339
287	16710	41310
288	16780	41282
289	16848	41250
290	16885	41139
291	16955	41111
292	16975	40961
293	17043	40928
294	17100	40866
295	17171	40840
296	17246	40822
297	17315	40790
298	17382	40752
299	17461	40743
300	17534	40720
301	17607	40695
302	17678	40665
303	17728	40588
304	17776	40508
305	17845	40472
306	17926	40466
307	17998	40437
308	18046	40355
309	18115	40322
310	18184	40285
311	18251	40247
312	18322	40216
313	18407	40215
314	18496	40222
315	18566	40188
316	18645	40172
317	18729	40167
318	18805	40144
319	18875	40109
320	18898	39974
321	18939	39878
322	19025	39877
323	19067	39782
324	19136	39744
325	19214	39724
326	19267	39653
327	19285	39512
328	19324	39413
329	19355	39296
330	19442	39296
331	19518	39273
332	19591	39242
333	19662	39206
334	19736	39178
335	19812	39153
336	19898	39147
337	19979	39131
338	20044	39083
339	20070	38961
340	20140	38922
341	20214	38891
342	20284	38853
343	20353	38814
344	20437	38802
345	20469	38690
346	20501	38580
347	20576	38550
348	20644	38508
349	20717	38475
350	20785	38432
351	20855	38393
352	20905	38316
353	20975	38276
354	21047	38240
355	21137	38236
356	21217	38215
357	21297	38192
358	21381	38176
359	21421	38083
360	21498	38054
361	21570	38016
362	21650	37992
363	21735	37978
364	21813	37949
365	21883	37908
366	21952	37864
367	22002	37787
368	22090	37775
369	22178	37763
370	22251	37726
371	22302	37651
372	22376	37613
373	22459	37592
374	22531	37551
375	22616	37534
376	22696	37506
377	22766	37462
378	22785	37335
379	22854	37288
380	22881	37175
381	22951	37131
382	23023	37089
383	23098	37053
384	23179	37026
385	23273	37020
386	23342	36973
387	23412	36928
388	23482	36883
389	23550	36835
390	23622	36792
391	23691	36746
392	23760	36698
393	23833	36656
394	23902	36609
395	23972	36563
396	24041	36517
397	24112	36471
398	24182	36425
399	24253	36380
400	24282	36272
401	24355	36230
402	24405	36153
403	24474	36106
404	24546	36062
405	24615	36014
406	24686	35967
407	24736	35891
408	24808	35847
409	24857	35769
410	24926	35721
411	24997	35675
412	25067	35628
413	25133	35574
414	25209	35536
415	25286	35498
416	25360	35456
417	25399	35365
418	25470	35318
419	25541	35271
420	25612	35224
421	25685	35180
422	25756	35132
423	25820	35077
424	25887	35023
425	25958	34976
426	26030	34930
427	26100	34882
428	26172	34836
429	26244	34789
430	26296	34716
431	26366	34666
432	26416	34592
433	26486	34542
434	26514	34437
435	26584	34388
436	26654	34340
437	26725	34291
438	26797	34245
439	26868	34196
440	26937	34145
441	26964	34041
442	27035	33992
443	27105	33943
444	27176	33893
445	27211	33801
446	27281	33751
447	27357	33708
448	27429	33660
449	27493	33603
450	27559	33548
451	27630	33499
452	27695	33442
453	27769	33396
454	27834	33340
455	27904	33289
456	27973	33237
457	28042	33186
458	28114	33136
459	28183	33085
460	28254	33035
461	28331	32991
462	28400	32939
463	28472	32890
464	28542	32839
465	28609	32783
466	28679	32732
467	28752	32684
468	28821	32631
469	28891	32579
470	28962	32529
471	29032	32477
472	29102	32425
473	29174	32375
474	29250	32329
475	29329	32287
476	29379	32213
477	29449	32160
478	29518	32106
479	29590	32056
480	29660	32004
481	29735	31956
482	29807	31906
483	29879	31855
484	29948	31800
485	30017	31746
486	30088	31694
487	30161	31644
488	30235	31596
489	30300	31537
490	30376	31489
491	30444	31434
492	30515	31381
493	30584	31326
494	30633	31251
495	30703	31198
496	30768	31139
497	30838	31086
498	30907	31031
499	30977	30977
500	31047	30923
501	31118	30870
502	31189	30817
503	31260	30764
504	31336	30716
505	31407	30662
506	31477	30608
507	31549	30556
508	31620	30502
509	31689	30446
510	31759	30391
511	31827	30335
512	31898	30281
513	31969	30227
514	32038	30171
515	32108	30117
516	32178	30062
517	32245	30004
518	32316	29950
519	32392	29900
520	32463	29846
521	32533	29791
522	32605	29738
523	32675	29682
524	32746	29627
525	32817	29572
526	32887	29517
527	32957	29461
528	33027	29406
529	33097	29350
530	33168	29295
531	33238	29240
532	33310	29185
533	33386	29135
534	33454	29077
535	33522	29019
536	33593	28964
537	33664	28908
538	33732	28851
539	33797	28790
540	33866	28733
541	33937	28677
542	34006	28620
543	34077	28564
544	34148	28508
545	34214	28449
546	34283	28391
547	34358	28339
548	34423	28278
549	34495	28223
550	34565	28166
551	34634	28109
552	34701	28050
553	34772	27993
554	34844	27938
555	34914	27881
556	34983	27823
557	35053	27766
558	35128	27713
559	35200	27657
560	35265	27596
561	35342	27544
562	35412	27486
563	35476	27425
564	35545	27367
565	35616	27310
566	35685	27252
567	35757	27196
568	35826	27137
569	35896	27079
570	35966	27022
571	36036	26964
572	36107	26907
573	36176	26848
574	36248	26792
575	36318	26734
576	36390	26677
577	36458	26618
578	36529	26561
579	36599	26503
580	36667	26443
581	36734	26383
582	36806	26326
583	36876	26267
584	36943	26207
585	37010	26147
586	37082	26090
587	37152	26032
588	37223	25974
589	37291	25914
590	37367	25860
591	37440	25803
592	37510	25745
593	37581	25686
594	37651	25628
595	37723	25570
596	37793	25512
597	37864	25454
598	37936	25396
599	38006	25337
600	38074	25277
601	38142	25217
602	38210	25157
603	38283	25099
604	38357	25043
605	38428	24984
606	38496	24924
607	38565	24864
608	38634	24804
609	38702	24744
610	38773	24685
611	38848	24629
612	38918	24570
613	38989	24511
614	39060	24452
615	39130	24393
616	39201	24334
617	39273	24275
618	39352	24222
619	39422	24162
620	39495	24104
621	39564	24044
622	39634	23984
623	39703	23923
624	39773	23864
625	39843	23803
626	39912	23743
627	39976	23680
628	40057	23626
629	40125	23565
630	40198	23507
631	40265	23445
632	40336	23386
633	40405	23325
634	40472	23263
635	40542	23203
636	40613	23143
637	40686	23085
638	40756	23024
639	40823	22963
640	40890	22901
641	40960	22840
642	41032	22781
643	41102	22721
644	41172	22661
645	41245	22602
646	41324	22546
647	41394	22485
648	41463	22424
649	41534	22364
650	41604	22304
651	41674	22243
652	41744	22182
653	41818	22124
654	41885	22061
655	41955	22000
656	42024	21939
657	42097	21880
658	42170	21821
659	42245	21762
660	42319	21704
661	42389	21642
662	42458	21581
663	42525	21519
664	42596	21458
665	42666	21397
666	42736	21336
667	42810	21276
668	42881	21216
669	42950	21154
670	43021	21093
671	43087	21030
672	43163	20972
673	43234	20911
674	43304	20850
675	43383	20793
676	43455	20733
677	43521	20669
678	43592	20608
679	43661	20546
680	43731	20485
681	43801	20423
682	43870	20361
683	43941	20300
684	44012	20239
685	44082	20177
686	44152	20116
687	44223	20054
688	44292	19992
689	44366	19932
690	44437	19871
691	44514	19812
692	44584	19751
693	44654	19689
694	44723	19626
695	44794	19565
696	44867	19504
697	44937	19442
698	45014	19384
699	45085	19322
700	45158	19261
701	45228	19199
702	45298	19137
703	45375	19078
704	45447	19017
705	45515	18954
706	45579	18889
707	45654	18829
708	45730	18769
709	45800	18707
710	45871	18645
711	45940	18582
712	46013	18521
713	46080	18458
714	46151	18396
715	46218	18332
716	46287	18269
717	46356	18206
718	46427	18144
719	46497	18082
720	46563	18018
721	46633	17955
722	46705	17894
723	46776	17831
724	46848	17770
725	46921	17708
726	46992	17646
727	47061	17583
728	47134	17521
729	47206	17459
730	47278	17397
731	47349	17335
732	47428	17276
733	47498	17213
734	47566	17149
735	47635	17086
736	47705	17023
737	47774	16960
738	47845	16898
739	47915	16835
740	47985	16772
741	48055	16709
742	48126	16646
743	48197	16584
744	48268	16521
745	48337	16458
746	48404	16394
747	48473	16330
748	48549	16269
749	48617	16205
750	48682	16141
751	48752	16077
752	48821	16014
753	48891	15951
754	48962	15888
755	49028	15824
756	49099	15761
757	49168	15697
758	49234	15633
759	49302	15569
760	49367	15504
761	49443	15443
762	49514	15379
763	49582	15316
764	49670	15258
765	49739	15194
766	49808	15130
767	49880	15068
768	49953	15005
769	50023	14942
770	50094	14879
771	50163	14815
772	50234	14752
773	50305	14688
774	50374	14624
775	50445	14561
776	50513	14497
777	50584	14434
778	50653	14370
779	50723	14306
780	50794	14243
781	50863	14179
782	50932	14115
783	51003	14051
784	51073	13988
785	51146	13925
786	51218	13862
787	51286	13798
788	51357	13734
789	51436	13672
790	51509	13609
791	51578	13545
792	51648	13482
793	51716	13417
