Iteration,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,objective,seed,silent,subsample,auc_score
0,0.7,0.7,0.125,13,4.0,243.0,binary:logistic,314159265,1,1.0,0.516510436496
1,0.7,0.55,0.325,13,5.0,953.0,binary:logistic,314159265,1,0.75,0.542262893246
2,0.6,0.75,0.175,7,5.0,498.0,binary:logistic,314159265,1,0.6,0.526984950529
3,0.85,0.75,0.05,2,4.0,846.0,binary:logistic,314159265,1,0.85,0.552544354096
4,0.75,0.65,0.1,8,6.0,596.0,binary:logistic,314159265,1,0.55,0.526850631486
5,0.55,1.0,0.225,10,3.0,155.0,binary:logistic,314159265,1,0.65,0.561518693832
6,0.85,0.85,0.15,2,3.0,247.0,binary:logistic,314159265,1,0.95,0.467309758971
7,0.95,0.6,0.2,6,5.0,294.0,binary:logistic,314159265,1,0.6,0.531491900185
8,0.9,0.8,0.2,10,4.0,855.0,binary:logistic,314159265,1,0.55,0.495440419528
9,0.55,0.7,0.075,2,1.0,547.0,binary:logistic,314159265,1,0.95,0.5006960734
